,1,metric,model,method
0,0.8823529411764706,acc,LSTM_stateful,end_to_end stateful
1,0.7647058823529411,acc,LSTM_stateful,end_to_end stateful
2,0.7647058823529411,acc,LSTM_stateful,end_to_end stateful
3,0.6470588235294118,acc,LSTM_stateful,end_to_end stateful
4,0.7647058823529411,acc,LSTM_stateful,end_to_end stateful
5,0.8819444444444444,roc,LSTM_stateful,end_to_end stateful
6,0.7785714285714287,roc,LSTM_stateful,end_to_end stateful
7,0.763888888888889,roc,LSTM_stateful,end_to_end stateful
8,0.6333333333333333,roc,LSTM_stateful,end_to_end stateful
9,0.7166666666666668,roc,LSTM_stateful,end_to_end stateful
10,0.875,fms,LSTM_stateful,end_to_end stateful
11,0.7777777777777777,fms,LSTM_stateful,end_to_end stateful
12,0.75,fms,LSTM_stateful,end_to_end stateful
13,0.7272727272727272,fms,LSTM_stateful,end_to_end stateful
14,0.6,fms,LSTM_stateful,end_to_end stateful
15,0.875,precision,LSTM_stateful,end_to_end stateful
16,0.875,precision,LSTM_stateful,end_to_end stateful
17,0.75,precision,LSTM_stateful,end_to_end stateful
18,0.8,precision,LSTM_stateful,end_to_end stateful
19,0.6,precision,LSTM_stateful,end_to_end stateful
20,0.875,recall,LSTM_stateful,end_to_end stateful
21,0.7,recall,LSTM_stateful,end_to_end stateful
22,0.75,recall,LSTM_stateful,end_to_end stateful
23,0.6666666666666666,recall,LSTM_stateful,end_to_end stateful
24,0.6,recall,LSTM_stateful,end_to_end stateful
25,0.8888888888888888,specificity,LSTM_stateful,end_to_end stateful
26,0.8571428571428571,specificity,LSTM_stateful,end_to_end stateful
27,0.7777777777777778,specificity,LSTM_stateful,end_to_end stateful
28,0.6,specificity,LSTM_stateful,end_to_end stateful
29,0.8333333333333334,specificity,LSTM_stateful,end_to_end stateful
