,1,metric,model,method
0,0.6470588235294118,acc,LSTM_stateful,end_to_end stateful
1,0.6470588235294118,acc,LSTM_stateful,end_to_end stateful
2,0.8823529411764706,acc,LSTM_stateful,end_to_end stateful
3,0.8823529411764706,acc,LSTM_stateful,end_to_end stateful
4,0.7647058823529411,acc,LSTM_stateful,end_to_end stateful
5,0.6319444444444444,roc,LSTM_stateful,end_to_end stateful
6,0.6458333333333334,roc,LSTM_stateful,end_to_end stateful
7,0.875,roc,LSTM_stateful,end_to_end stateful
8,0.8583333333333333,roc,LSTM_stateful,end_to_end stateful
9,0.763888888888889,roc,LSTM_stateful,end_to_end stateful
10,0.7272727272727274,fms,LSTM_stateful,end_to_end stateful
11,0.625,fms,LSTM_stateful,end_to_end stateful
12,0.8571428571428571,fms,LSTM_stateful,end_to_end stateful
13,0.8000000000000002,fms,LSTM_stateful,end_to_end stateful
14,0.75,fms,LSTM_stateful,end_to_end stateful
15,0.6153846153846154,precision,LSTM_stateful,end_to_end stateful
16,0.625,precision,LSTM_stateful,end_to_end stateful
17,1.0,precision,LSTM_stateful,end_to_end stateful
18,0.8,precision,LSTM_stateful,end_to_end stateful
19,0.75,precision,LSTM_stateful,end_to_end stateful
20,0.8888888888888888,recall,LSTM_stateful,end_to_end stateful
21,0.625,recall,LSTM_stateful,end_to_end stateful
22,0.75,recall,LSTM_stateful,end_to_end stateful
23,0.8,recall,LSTM_stateful,end_to_end stateful
24,0.75,recall,LSTM_stateful,end_to_end stateful
25,0.375,specificity,LSTM_stateful,end_to_end stateful
26,0.6666666666666666,specificity,LSTM_stateful,end_to_end stateful
27,1.0,specificity,LSTM_stateful,end_to_end stateful
28,0.9166666666666666,specificity,LSTM_stateful,end_to_end stateful
29,0.7777777777777778,specificity,LSTM_stateful,end_to_end stateful
