,1,metric,model,method
0,0.8235294117647058,acc,LSTM_stateful,end_to_end stateful
1,0.7647058823529411,acc,LSTM_stateful,end_to_end stateful
2,0.7647058823529411,acc,LSTM_stateful,end_to_end stateful
3,1.0,acc,LSTM_stateful,end_to_end stateful
4,0.8235294117647058,acc,LSTM_stateful,end_to_end stateful
5,0.8263888888888888,roc,LSTM_stateful,end_to_end stateful
6,0.7803030303030304,roc,LSTM_stateful,end_to_end stateful
7,0.7571428571428572,roc,LSTM_stateful,end_to_end stateful
8,1.0,roc,LSTM_stateful,end_to_end stateful
9,0.8166666666666667,roc,LSTM_stateful,end_to_end stateful
10,0.823529411764706,fms,LSTM_stateful,end_to_end stateful
11,0.7142857142857143,fms,LSTM_stateful,end_to_end stateful
12,0.7142857142857143,fms,LSTM_stateful,end_to_end stateful
13,1.0,fms,LSTM_stateful,end_to_end stateful
14,0.7272727272727272,fms,LSTM_stateful,end_to_end stateful
15,0.7777777777777778,precision,LSTM_stateful,end_to_end stateful
16,0.625,precision,LSTM_stateful,end_to_end stateful
17,0.7142857142857143,precision,LSTM_stateful,end_to_end stateful
18,1.0,precision,LSTM_stateful,end_to_end stateful
19,0.6666666666666666,precision,LSTM_stateful,end_to_end stateful
20,0.875,recall,LSTM_stateful,end_to_end stateful
21,0.8333333333333334,recall,LSTM_stateful,end_to_end stateful
22,0.7142857142857143,recall,LSTM_stateful,end_to_end stateful
23,1.0,recall,LSTM_stateful,end_to_end stateful
24,0.8,recall,LSTM_stateful,end_to_end stateful
25,0.7777777777777778,specificity,LSTM_stateful,end_to_end stateful
26,0.7272727272727273,specificity,LSTM_stateful,end_to_end stateful
27,0.8,specificity,LSTM_stateful,end_to_end stateful
28,1.0,specificity,LSTM_stateful,end_to_end stateful
29,0.8333333333333334,specificity,LSTM_stateful,end_to_end stateful
