,1,metric,model,method
0,0.8823529411764706,acc,LSTM_stateful,end_to_end stateful
1,0.8823529411764706,acc,LSTM_stateful,end_to_end stateful
2,0.5294117647058824,acc,LSTM_stateful,end_to_end stateful
3,0.8823529411764706,acc,LSTM_stateful,end_to_end stateful
4,0.7647058823529411,acc,LSTM_stateful,end_to_end stateful
5,0.8712121212121213,roc,LSTM_stateful,end_to_end stateful
6,0.8583333333333333,roc,LSTM_stateful,end_to_end stateful
7,0.6083333333333334,roc,LSTM_stateful,end_to_end stateful
8,0.8333333333333333,roc,LSTM_stateful,end_to_end stateful
9,0.7785714285714286,roc,LSTM_stateful,end_to_end stateful
10,0.9090909090909092,fms,LSTM_stateful,end_to_end stateful
11,0.9166666666666666,fms,LSTM_stateful,end_to_end stateful
12,0.5000000000000001,fms,LSTM_stateful,end_to_end stateful
13,0.8,fms,LSTM_stateful,end_to_end stateful
14,0.75,fms,LSTM_stateful,end_to_end stateful
15,0.9090909090909092,precision,LSTM_stateful,end_to_end stateful
16,0.9166666666666666,precision,LSTM_stateful,end_to_end stateful
17,0.3636363636363636,precision,LSTM_stateful,end_to_end stateful
18,1.0,precision,LSTM_stateful,end_to_end stateful
19,0.6666666666666666,precision,LSTM_stateful,end_to_end stateful
20,0.9090909090909092,recall,LSTM_stateful,end_to_end stateful
21,0.9166666666666666,recall,LSTM_stateful,end_to_end stateful
22,0.8,recall,LSTM_stateful,end_to_end stateful
23,0.6666666666666666,recall,LSTM_stateful,end_to_end stateful
24,0.8571428571428571,recall,LSTM_stateful,end_to_end stateful
25,0.8333333333333334,specificity,LSTM_stateful,end_to_end stateful
26,0.8,specificity,LSTM_stateful,end_to_end stateful
27,0.4166666666666667,specificity,LSTM_stateful,end_to_end stateful
28,1.0,specificity,LSTM_stateful,end_to_end stateful
29,0.7,specificity,LSTM_stateful,end_to_end stateful
