,1,metric,model,method
0,0.5882352941176471,acc,LSTM_stateful,end_to_end stateful
1,0.7058823529411765,acc,LSTM_stateful,end_to_end stateful
2,0.8235294117647058,acc,LSTM_stateful,end_to_end stateful
3,0.9411764705882352,acc,LSTM_stateful,end_to_end stateful
4,0.7058823529411765,acc,LSTM_stateful,end_to_end stateful
5,0.6111111111111112,roc,LSTM_stateful,end_to_end stateful
6,0.7285714285714286,roc,LSTM_stateful,end_to_end stateful
7,0.8263888888888888,roc,LSTM_stateful,end_to_end stateful
8,0.9285714285714286,roc,LSTM_stateful,end_to_end stateful
9,0.6212121212121211,roc,LSTM_stateful,end_to_end stateful
10,0.3636363636363636,fms,LSTM_stateful,end_to_end stateful
11,0.7058823529411764,fms,LSTM_stateful,end_to_end stateful
12,0.823529411764706,fms,LSTM_stateful,end_to_end stateful
13,0.923076923076923,fms,LSTM_stateful,end_to_end stateful
14,0.4444444444444444,fms,LSTM_stateful,end_to_end stateful
15,1.0,precision,LSTM_stateful,end_to_end stateful
16,0.6,precision,LSTM_stateful,end_to_end stateful
17,0.7777777777777778,precision,LSTM_stateful,end_to_end stateful
18,1.0,precision,LSTM_stateful,end_to_end stateful
19,0.6666666666666666,precision,LSTM_stateful,end_to_end stateful
20,0.2222222222222222,recall,LSTM_stateful,end_to_end stateful
21,0.8571428571428571,recall,LSTM_stateful,end_to_end stateful
22,0.875,recall,LSTM_stateful,end_to_end stateful
23,0.8571428571428571,recall,LSTM_stateful,end_to_end stateful
24,0.3333333333333333,recall,LSTM_stateful,end_to_end stateful
25,1.0,specificity,LSTM_stateful,end_to_end stateful
26,0.6,specificity,LSTM_stateful,end_to_end stateful
27,0.7777777777777778,specificity,LSTM_stateful,end_to_end stateful
28,1.0,specificity,LSTM_stateful,end_to_end stateful
29,0.9090909090909092,specificity,LSTM_stateful,end_to_end stateful
